plate,organism,plate_number,well,row,col,content,treatment,ttype
human_1,human,1,A01,A,1,hsa-miR-194-5p,hsa-miR-194-5p,treatment
human_1,human,1,A02,A,2,hsa-miR-194-5p,hsa-miR-194-5p,treatment
human_1,human,1,A03,A,3,hsa-miR-133b,hsa-miR-133b,treatment
human_1,human,1,A04,A,4,hsa-miR-133b,hsa-miR-133b,treatment
human_1,human,1,A05,A,5,hsa-miR-328-3p,hsa-miR-328-3p,treatment
human_1,human,1,A06,A,6,hsa-miR-328-3p,hsa-miR-328-3p,treatment
human_1,human,1,A07,A,7,hsa-miR-7-5p,hsa-miR-7-5p,treatment
human_1,human,1,A08,A,8,hsa-miR-7-5p,hsa-miR-7-5p,treatment
human_1,human,1,A09,A,9,hsa-let-7a-5p,hsa-let-7a-5p,treatment
human_1,human,1,A10,A,10,hsa-let-7a-5p,hsa-let-7a-5p,treatment
human_1,human,1,A11,A,11,hsa-miR-20a-5p,hsa-miR-20a-5p,treatment
human_1,human,1,A12,A,12,hsa-miR-20a-5p,hsa-miR-20a-5p,treatment
human_1,human,1,A13,A,13,hsa-miR-520a-5p,hsa-miR-520a-5p,treatment
human_1,human,1,A14,A,14,hsa-miR-520a-5p,hsa-miR-520a-5p,treatment
human_1,human,1,A15,A,15,hsa-miR-196a-5p,hsa-miR-196a-5p,treatment
human_1,human,1,A16,A,16,hsa-miR-196a-5p,hsa-miR-196a-5p,treatment
human_1,human,1,A17,A,17,hsa-miR-412-3p,hsa-miR-412-3p,treatment
human_1,human,1,A18,A,18,hsa-miR-412-3p,hsa-miR-412-3p,treatment
human_1,human,1,A19,A,19,hsa-miR-302b-3p,hsa-miR-302b-3p,treatment
human_1,human,1,A20,A,20,hsa-miR-302b-3p,hsa-miR-302b-3p,treatment
human_1,human,1,A21,A,21,hsa-miR-361-5p,hsa-miR-361-5p,treatment
human_1,human,1,A22,A,22,hsa-miR-361-5p,hsa-miR-361-5p,treatment
human_1,human,1,A23,A,23,Cell Death siRNA,control_cell_death,cell_death
human_1,human,1,A24,A,24,Cell Death siRNA,control_cell_death,cell_death
human_1,human,1,B01,B,1,hsa-miR-431-5p,hsa-miR-431-5p,treatment
human_1,human,1,B02,B,2,hsa-miR-431-5p,hsa-miR-431-5p,treatment
human_1,human,1,B03,B,3,hsa-miR-29b-3p,hsa-miR-29b-3p,treatment
human_1,human,1,B04,B,4,hsa-miR-29b-3p,hsa-miR-29b-3p,treatment
human_1,human,1,B05,B,5,hsa-miR-518d-3p,hsa-miR-518d-3p,treatment
human_1,human,1,B06,B,6,hsa-miR-518d-3p,hsa-miR-518d-3p,treatment
human_1,human,1,B07,B,7,hsa-miR-500a-3p,hsa-miR-500a-3p,treatment
human_1,human,1,B08,B,8,hsa-miR-500a-3p,hsa-miR-500a-3p,treatment
human_1,human,1,B09,B,9,hsa-miR-512-3p,hsa-miR-512-3p,treatment
human_1,human,1,B10,B,10,hsa-miR-512-3p,hsa-miR-512-3p,treatment
human_1,human,1,B11,B,11,hsa-miR-125b-5p,hsa-miR-125b-5p,treatment
human_1,human,1,B12,B,12,hsa-miR-125b-5p,hsa-miR-125b-5p,treatment
human_1,human,1,B13,B,13,hsa-miR-203a-3p,hsa-miR-203a-3p,treatment
human_1,human,1,B14,B,14,hsa-miR-203a-3p,hsa-miR-203a-3p,treatment
human_1,human,1,B15,B,15,hsa-miR-132-3p,hsa-miR-132-3p,treatment
human_1,human,1,B16,B,16,hsa-miR-132-3p,hsa-miR-132-3p,treatment
human_1,human,1,B17,B,17,hsa-miR-297,hsa-miR-297,treatment
human_1,human,1,B18,B,18,hsa-miR-297,hsa-miR-297,treatment
human_1,human,1,B19,B,19,hsa-miR-100-5p,hsa-miR-100-5p,treatment
human_1,human,1,B20,B,20,hsa-miR-100-5p,hsa-miR-100-5p,treatment
human_1,human,1,B21,B,21,hsa-miR-380-5p,hsa-miR-380-5p,treatment
human_1,human,1,B22,B,22,hsa-miR-380-5p,hsa-miR-380-5p,treatment
human_1,human,1,B23,B,23,Cell Death siRNA,control_cell_death,cell_death
human_1,human,1,B24,B,24,Cell Death siRNA,control_cell_death,cell_death
human_1,human,1,C01,C,1,hsa-miR-140-5p,hsa-miR-140-5p,treatment
human_1,human,1,C02,C,2,hsa-miR-140-5p,hsa-miR-140-5p,treatment
human_1,human,1,C03,C,3,hsa-miR-184,hsa-miR-184,treatment
human_1,human,1,C04,C,4,hsa-miR-184,hsa-miR-184,treatment
